listName,color,user,sharedUsers,global,ratings
"Baking Bread","#f8b400","Alice Johnson","Bob Smith, Carol White",True,4
"Plan Trip to NY","#00a2ff","Bob Smith","Alice Johnson, Eva Brown",True,5
"Picnic in a Park","#3cb371","Carol White","David Lee, Grace Hall",True,3
"Mari Kondo My Home","#ff6347","David Lee","Eva Brown, Frank Wright",True,5
"Sleep Routine Backed by Science","#6a5acd","Eva Brown","Carol White, Grace Hall",True,5
"Job Interview Preparation","#ff4500","Frank Wright","Bob Smith, David Lee",True,2
"Lord of the Rings Marathon Party","#daa520","Alice Johnson","Frank Wright, Grace Hall",True,3
"Grocery List for a BBQ","#f08080","David Lee","Alice Johnson, Bob Smith",True,3
"Movies to Watch","#20b2aa","Grace Hall","Eva Brown, Carol White",True,3
"React Hooks Study Session","#4682b4","Bob Smith","David Lee, Frank Wright",True,5
